State,City,year,SO2,NO2,PM2.5
West Bengal,Kolkata,2011,12.875679875679875,65.8262432012432,114.63529526029525
West Bengal,Kolkata,2012,37.3578581716843,56.621932982555535,105.79816177292987
West Bengal,Kolkata,2013,10.471095884162256,67.56328472060767,181.58793794019599
West Bengal,Kolkata,2014,8.31825987810253,66.05980770769857,121.15659630283416
West Bengal,Kolkata,2015,7.951113702652709,46.70943472369392,87.97632446725149
West Bengal,Kolkata,2016,9.008383225228846,37.96221394913022,73.34343345514667
West Bengal,Kolkata,2017,9.008383225228846,37.96221394913022,73.34343345514667
West Bengal,Kolkata,2018,9.008383225228846,37.96221394913022,73.34343345514667
West Bengal,Kolkata,2019,7.850324814770216,34.55486343487982,57.1831247062686
West Bengal,Kolkata,2020,10.565967993754876,29.109925839188143,47.203173302107714
