State,Year,SO2,NO2,PM2.5,Mpc,zscore,spot,xco,yco
Delhi,2018,13.497754336343393,46.74489931276587,112.13755520280408,57.46006961730444,-0.123,0.0,28.8297,77.1028
Delhi,2019,14.097084471186005,45.34445710165826,105.62371937015808,55.021753647667445,-0.167,0.0,28.8297,77.1028
Delhi,2020,14.191562844073946,33.03644017831464,78.73446448975783,41.98748917071547,-0.731,-1.0,28.8297,77.1028
Goa,2011,8.33688770768205,14.66376537067078,79.54161573602408,34.18075627145897,-0.394,0.0,15.4489,74.0711
Goa,2012,8.51083100676928,14.576584294203094,79.95218201163416,34.34653243753551,-0.331,0.0,15.4489,74.0711
Goa,2013,7.056346464987403,11.911529851919868,53.18609324438791,24.051323187098394,-1.147,-1.0,15.4489,74.0711
Goa,2014,6.576033712619415,11.456769567568475,54.02735872281193,24.020054000999938,-1.049,-1.0,15.4489,74.0711
Goa,2015,4.303384993036977,9.42455081998004,54.76780274634465,22.831912853120556,-1.185,-1.0,15.4489,74.0711
Goa,2016,2.086721586441996,7.498129786900265,55.4578696603285,21.680907011223585,-1.305,-1.0,15.4489,74.0711
Goa,2017,2.086721586441996,5.518809896566162,56.17312512908679,21.25955220403165,-1.528,-1.0,15.4489,74.0711
Goa,2018,2.086721586441996,3.5394900062320547,56.88838059784507,20.838197396839707,-1.867,-1.0,15.4489,74.0711
Goa,2019,2.086721586441996,1.560170115897948,57.60363606660334,20.41684258964776,-2.33,-1.0,15.4489,74.0711
Goa,2020,2.086721586441996,1.560170115897948,58.31889153536163,20.655261079233856,-2.925,-1.0,15.4489,74.0711
Gujarat,2011,15.44219361787075,24.613282144000586,90.7497321367139,43.601735966195086,-0.018,0.0,22.2587,71.1924
Gujarat,2012,15.980914591272,25.814817698519043,95.87246594352428,45.8893994111051,-0.257,0.0,22.2587,71.1924
Gujarat,2013,13.500668531655442,19.4991351648749,87.54462445355755,40.181476050029296,-0.645,-1.0,22.2587,71.1924
Gujarat,2014,14.934123016197772,20.48698532370881,86.73968960905167,40.720265982986085,-0.97,-1.0,22.2587,71.1924
Gujarat,2015,14.563224756103072,20.76352076829893,86.83615168401029,40.72096573613743,-0.841,-1.0,22.2587,71.1924
Gujarat,2016,14.684451957645962,20.922978250456477,84.67792144087107,40.0951172163245,-0.693,-1.0,22.2587,71.1924
Gujarat,2017,20.096410483854378,22.24001392639958,86.77788963272722,43.03810468099372,-0.035,0.0,22.2587,71.1924
Gujarat,2018,19.37688424254091,28.928643464258663,82.05468511415859,43.45340427365272,0.295,0.0,22.2587,71.1924
Gujarat,2019,19.150941263816676,29.72580463920052,79.59260077085182,42.823115557956335,0.419,0.0,22.2587,71.1924
Gujarat,2020,13.48925607946326,22.326435057723483,76.42167995962079,37.41245703226918,0.113,0.0,22.2587,71.1924
Haryana,2011,12.872506359987131,19.328315089969507,152.66322463519114,61.62134869504926,0.17,0.0,29.3255,76.2998
Haryana,2012,10.697749848925383,19.55760234386601,156.97312943565544,62.40949387614895,0.077,0.0,29.3255,76.2998
Haryana,2013,10.60662694401147,17.050566994519354,156.17166420479478,61.276286047775194,0.12,0.0,29.3255,76.2998
Haryana,2014,11.002712503419453,17.235828993220743,136.53641513586234,54.92498554416752,-0.095,0.0,29.3255,76.2998
Haryana,2015,11.346011732204843,30.600678603259485,119.00137659489631,53.64935564345355,0.082,0.0,29.3255,76.2998
Haryana,2016,11.689310960990234,43.96552821329823,101.4663380539303,52.37372574273959,0.206,0.0,29.3255,76.2998
Haryana,2017,12.243232802407023,55.532099253779805,86.91006137762484,51.56179781127056,0.185,0.0,29.3255,76.2998
Haryana,2018,12.624014448075638,68.84506618373662,47.85406558405755,43.107715405289944,-0.161,0.0,29.3255,76.2998
Haryana,2019,13.687864586894923,81.02756564794004,24.44673931103825,39.72072318195774,-0.251,0.0,29.3255,76.2998
Haryana,2020,13.155349876866511,90.3314729293406,24.44673931103825,42.644520705748455,0.133,0.0,29.3255,76.2998
Himachal Pradesh,2011,2.925651692354414,12.621318568863307,92.50395338201147,36.01697454774307,-2.188,-1.0,31.9592,77.1089
Himachal Pradesh,2012,2.5308471783955624,14.376970414922935,101.40880211869047,39.438873237336324,-2.166,-1.0,31.9592,77.1089
Himachal Pradesh,2013,2.128350167032317,14.06956749119368,90.53115205460956,35.57635657094519,-2.678,-1.0,31.9592,77.1089
Himachal Pradesh,2014,2.111288995201045,14.689019471054824,89.97253217460636,35.59094688028741,-2.5,-1.0,31.9592,77.1089
Himachal Pradesh,2015,2.3389227032222064,13.383382495397978,81.27365275482983,32.33198598448334,-2.179,-1.0,31.9592,77.1089
Himachal Pradesh,2016,2.6343409518878085,12.794767256915964,81.35329753681287,32.26080191520555,-2.018,-1.0,31.9592,77.1089
Himachal Pradesh,2017,2.8958669302311897,11.847641149846536,77.04368021791615,30.595729432664626,-1.936,-1.0,31.9592,77.1089
Himachal Pradesh,2018,3.157392908574571,10.900515042777108,72.73406289901943,28.930656950123705,-1.618,-1.0,31.9592,77.1089
Himachal Pradesh,2019,3.4189188869179525,9.953388935707675,68.42444558012268,27.26558446758277,-1.497,-1.0,31.9592,77.1089
Himachal Pradesh,2020,3.680444865261335,9.006262828638247,64.11482826122594,25.600511985041837,-1.529,-1.0,31.9592,77.1089
Jammu & Kashmir,2011,5.417601975954379,11.89662562202608,107.30654534887944,41.5402576489533,-0.384,0.0,34.262,76.2711
Jammu & Kashmir,2012,5.798631276294128,12.378137670721296,118.43176006798365,45.53617633833303,-0.329,0.0,34.262,76.2711
Jammu & Kashmir,2013,14.682879614718146,4.717681849030259,119.25783697248808,46.21946614541216,-0.045,0.0,34.262,76.2711
Jammu & Kashmir,2014,5.42293167610772,12.68692368329392,122.9856780142624,47.03184445788801,0.249,0.0,34.262,76.2711
Jammu & Kashmir,2015,3.5276108352930926,16.683589291855572,125.27027307330712,48.49382440015193,1.177,1.0,34.262,76.2711
Jammu & Kashmir,2016,1.632289994478465,20.680254900417225,127.55486813235184,49.95580434241584,1.498,1.0,34.262,76.2711
Jammu & Kashmir,2017,1.632289994478465,24.67692050897888,129.83946319139656,52.04955789828463,2.072,1.0,34.262,76.2711
Jammu & Kashmir,2018,1.632289994478465,28.67358611754053,132.1240582504413,54.143311454153434,2.997,1.0,34.262,76.2711
Jammu & Kashmir,2019,1.632289994478465,32.67025172610218,134.408653309486,56.237065010022214,3.701,1.0,34.262,76.2711
Jammu & Kashmir,2020,1.632289994478465,36.66691733466384,136.6932483685307,58.330818565891,4.894,1.0,34.262,76.2711
Jharkhand,2011,22.4390230183548,33.45800307915056,201.4675284347844,85.78818484409659,1.917,1.0,23.3441,85.3096
Jharkhand,2012,23.108239649294376,35.0203651847314,195.42068706053155,84.5164306315191,1.689,1.0,23.3441,85.3096
Jharkhand,2013,22.694553356074515,34.99199331639197,174.16610672322307,77.28421779856318,0.895,1.0,23.3441,85.3096
Jharkhand,2014,20.456207704111694,31.653447620381108,165.95005327774138,72.68656953407806,1.045,1.0,23.3441,85.3096
Jharkhand,2015,22.286800292439807,33.98536997155505,162.19593740676697,72.82270255692062,1.327,1.0,23.3441,85.3096
Jharkhand,2016,20.261835821465013,33.10775517174473,164.14958936629745,72.50639345316905,1.453,1.0,23.3441,85.3096
Jharkhand,2017,20.164649880141667,33.834908947426534,163.24935741057553,72.41630541271458,1.313,1.0,23.3441,85.3096
Jharkhand,2018,25.40674343826792,34.26114795733046,162.3491254548537,74.00567228348403,1.289,1.0,23.3441,85.3096
Jharkhand,2019,18.2890310781579,35.171536566671755,138.94265279463076,64.13440681315348,0.755,1.0,23.3441,85.3096
Jharkhand,2020,19.175398984962623,36.021992011640194,136.99544140289453,64.06427746649912,0.948,1.0,23.3441,85.3096
Karnataka,2011,7.274743797874188,14.801509070108636,62.75841354953476,28.278222139172527,-0.497,0.0,14.4644,75.9218
Karnataka,2012,7.064711580419175,14.3054804388711,62.71031483133139,28.026835616873885,-0.605,-1.0,14.4644,75.9218
Karnataka,2013,6.73215581396515,14.40927000801216,69.57581212472434,30.239079315567214,-0.168,0.0,14.4644,75.9218
Karnataka,2014,6.641575341564991,14.130484924769496,68.74875746598774,29.840272577440743,-0.246,0.0,14.4644,75.9218
Karnataka,2015,5.401457058733558,15.415079524738315,69.80913299520192,30.208556526224598,-0.176,0.0,14.4644,75.9218
Karnataka,2016,4.839310935355148,17.031900283250323,68.4544882669532,30.108566495186224,-0.098,0.0,14.4644,75.9218
Karnataka,2017,4.109598985648933,18.447402138406822,71.11059729924337,31.222532807766374,0.028,0.0,14.4644,75.9218
Karnataka,2018,3.546847063262486,19.79426004432751,73.9005443874577,32.41388383168256,0.147,0.0,14.4644,75.9218
Karnataka,2019,2.655821383136165,20.95563880470814,76.79585745931445,33.46910588238625,0.291,0.0,14.4644,75.9218
Karnataka,2020,2.0083346042236343,21.960556823689338,79.35272302929187,34.440538152401615,0.429,0.0,14.4644,75.9218
Kerala,2011,3.387212656653021,12.545316736556543,38.95311632186542,18.295215238358328,-2.745,-1.0,10.7867,76.6548
Kerala,2012,3.39602951426471,11.639292929822744,43.61698785245744,19.5507700988483,-2.685,-1.0,10.7867,76.6548
